mean_thickness,std_thickness,tdose,tsat
0.3058131,0.38159612,1.0384278,3.7303362
0.68926114,0.071846165,0.011220796,0.038855072
0.9331421,0.005968844,19.19146,33.171524
0.61561286,0.00054404914,2.730826,13.138815
0.7371439,0.10439356,1.0089593,2.9258034
0.9759232,0.0013154327,0.3593048,0.4529077
0.9417164,0.0014332945,2.727316,4.443117
0.9888558,0.0029375856,13.780033,15.590096
0.9765768,0.0003006369,3.4623473,4.2683043
0.8397211,0.00094892894,1.6204268,4.074015
0.7902312,0.03624498,0.16156055,0.455351
0.9228339,0.00016823944,8.153089,14.66164
0.95618737,0.0012491078,0.20160958,0.2992042
0.71728015,0.40423957,0.007862593,0.013896188
0.40092123,0.42469296,1.1234573,2.9807637
0.848558,0.014107319,9.033334,21.871065
0.4018442,0.37004805,0.3392973,1.1174031
0.94737935,0.089824595,0.042744856,0.05957981
0.9870668,0.0031327293,2.1443758,2.4840367
0.63007003,0.41313994,0.014529973,0.025341623
0.98624873,0.018948438,0.06877349,0.09128635
0.574639,0.10552019,0.040354766,0.17171307
0.91795266,0.06650246,0.057193898,0.102834314
0.9548373,0.006918111,0.17981292,0.27686855
0.98113996,0.0048779445,9.871645,12.447388
0.95236516,0.00013501276,9.823757,14.872652
0.9898151,0.005167333,0.038592868,0.04561046
0.98956186,0.018078279,0.29016992,0.3672485
0.855595,0.18509817,0.12136578,0.2167707
0.9799956,0.0005434934,23.393068,27.838802
0.9477906,0.0016693744,12.451991,19.574335
0.9139278,0.003757001,1.4758751,2.7862513
0.99381477,0.010713139,2.2948635,2.8686602
0.49438336,0.47172108,0.09827889,0.23220247
0.50302917,0.4940159,0.058529977,0.12579136
0.8671016,0.0012221172,1.7709798,4.0410194
0.5396646,0.18173425,0.003943485,0.015373438
0.49359402,0.34695792,0.9954934,3.008286
0.96822345,0.00014538875,30.274557,40.486286
0.90967256,0.008335321,3.3535733,6.4791718
0.971823,0.0006547849,29.026722,37.759846
0.83525246,0.0146701,0.18253957,0.46129084
0.9878525,0.02074202,0.07674475,0.099033706
0.96769696,0.0027146148,0.07925256,0.10912023
0.7661711,0.014733505,4.45584,13.853982
0.61916316,0.08777113,1.8745124,7.4586124
0.42064902,0.25651807,0.19652498,0.81366855
0.40126002,0.34781507,0.0062678196,0.021741236
0.94413,0.014593424,0.01385035,0.023031745
0.9095219,0.14266442,0.012642107,0.019491414
